video_id,video_url,video_title,channel_name,channel_id,kategori,eslesen_keyword,comment_count,view_count,like_count,published_at
ah-HQboR6Mc,https://www.youtube.com/watch?v=ah-HQboR6Mc,US launches nearly 900 strikes on Iran in RARE daytime operation,Fox News,UCXIJgqnII2ZOINSWNOGFThA,ilk_saldir,airstrike,14244,5919307,55351,2026-03-01T13:00:04Z
oqAAD_d-7VE,https://www.youtube.com/watch?v=oqAAD_d-7VE,BREAKING: Israel UNDER FIRE amid Trump ultimatum to Iran,Fox News,UCXIJgqnII2ZOINSWNOGFThA,ilk_saldir,airstrike,13652,4803982,37459,2026-03-22T22:20:10Z
G0w1aTVzv0I,https://www.youtube.com/watch?v=G0w1aTVzv0I,JUST IN: Asylum GRANTED to Iranian women’s soccer players who REFUSED anthem,Fox News,UCXIJgqnII2ZOINSWNOGFThA,sivil_kayip,refugee,1230,284607,5921,2026-03-10T18:45:00Z
AwzA3S0D_rs,https://www.youtube.com/watch?v=AwzA3S0D_rs,Vance SLAMS Iran's enrichment lies: This 'doesn't pass the smell test' #shorts #foxnews #iran,Fox News,UCXIJgqnII2ZOINSWNOGFThA,sivil_kayip,civilian,685,366048,12618,2026-03-03T15:00:26Z
a6uTJCk4zFo,https://www.youtube.com/watch?v=a6uTJCk4zFo,Hegseth: Iran's new ayatollah 'wounded and likely disfigured' #shorts,Fox News,UCXIJgqnII2ZOINSWNOGFThA,sivil_kayip,wounded,426,126272,4823,2026-03-13T19:00:00Z
B_JiPAJndns,https://www.youtube.com/watch?v=B_JiPAJndns,مصاحبه اختصاصی مراد ویسی با شاهزاده رضا پهلوی,Iran International,UCat6bC0Wrqq9Bcq7EkH_yQw,genel,iran_context,2710,396847,12163,2026-03-16T21:49:55Z
gx2P8W3Yyew,https://www.youtube.com/watch?v=gx2P8W3Yyew,تیتراول با نیوشا صارمی: وزیر جنگ آمریکا:کار جمهوری اسلامی تمام می‌شود؛عملیلات نظامی گسترده‌تر می‌شود,Iran International,UCat6bC0Wrqq9Bcq7EkH_yQw,genel,iran_context,395,152092,2605,2026-03-04T17:16:09Z
_fm8nstemK0,https://www.youtube.com/watch?v=_fm8nstemK0,چشم‌انداز: ورود ارتش اسرائیل به فاز جدید جنگی علیه ساختار سرکوب,Iran International,UCat6bC0Wrqq9Bcq7EkH_yQw,genel,iran_context,357,82985,2164,2026-03-02T20:01:53Z
Hrl-ArGgnx8,https://www.youtube.com/watch?v=Hrl-ArGgnx8,۲۴ با فرداد فرحزاد: ترامپ: انتخاب مجتبی خامنه‌ای اشتباه بزرگی است,Iran International,UCat6bC0Wrqq9Bcq7EkH_yQw,ilk_saldir,airstrike,463,128997,2027,2026-03-09T20:58:52Z
Nz4Gr8jedh4,https://www.youtube.com/watch?v=Nz4Gr8jedh4,۲۴ با فرداد فرحزاد: فاز جدید جنگ به‌دنبال حمله به پارس جنوبی,Iran International,UCat6bC0Wrqq9Bcq7EkH_yQw,ilk_saldir,missile,432,145818,2229,2026-03-18T20:13:14Z
jeZII3LAcw4,https://www.youtube.com/watch?v=jeZII3LAcw4,۲۴ با فرداد فرحزاد: ترامپ: فقط تسلیم بی‌قید و شرط,Iran International,UCat6bC0Wrqq9Bcq7EkH_yQw,ilk_saldir,strike,427,151113,2180,2026-03-06T19:58:33Z
